,Indicator_Code,Indicator_Name,Indicator_URL,Year,Start_Year,End_Year,Region_Code,Region,Country_Code,Country,Dimension_Type,Dimension_Code,Dimension_Name,Numeric_Value,Value,Low,High,Rescaled_Value
14479,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1995,1995,1995,WPR,Western Pacific,AUS,Australia,,,,44583.0,44 583,,,43.20225590139153
14506,HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,1997,1997,1997,WPR,Western Pacific,AUS,Australia,,,,17717.0,17 717,,,35.193977076339365
14518,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2018,2018,2018,WPR,Western Pacific,AUS,Australia,SEX,SEX_MLE,Male,74134.51,74135 [54524-100375],54524.46,100375.3,50.560655113831274
14551,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2001,2001,2001,WPR,Western Pacific,AUS,Australia,,,,203380.0,203 380,,,57.23661252012203
14594,SDGNTDTREATMENT,Reported number of people requiring interventions against NTDs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-people-requiring-interventions-against-ntds,2015,2015,2015,WPR,Western Pacific,AUS,Australia,,,,17476.0,17 476,,,12.078069278190915
14608,HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,1998,1998,1998,WPR,Western Pacific,AUS,Australia,,,,18493.0,18 493,,,36.73546413460201
14726,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2002,2002,2002,WPR,Western Pacific,AUS,Australia,,,,193853.0,193 853,,,58.925108364591374
14822,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2005,2005,2005,WPR,Western Pacific,AUS,Australia,SEX,SEX_BTSX,Both sexes,119953.2,119953 [93137-152625],93136.75,152624.7,81.80956986159923
14905,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1970,1970,1970,WPR,Western Pacific,AUS,Australia,,,,16697.0,16 697,,,16.17989069343773
15089,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2016,2016,2016,WPR,Western Pacific,AUS,Australia,,,,86550.0,86 550,,,83.86952982673746
15106,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,1986,1986,1986,WPR,Western Pacific,AUS,Australia,,,,175000.0,175 000,,,49.24971575878334
15168,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1982,1982,1982,WPR,Western Pacific,AUS,Australia,,,,28821.0,28 821,,,27.928408077832472
15184,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1997,1997,1997,WPR,Western Pacific,AUS,Australia,,,,44194.0,44 194,,,42.8253033063297
15202,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2003,2003,2003,WPR,Western Pacific,AUS,Australia,,,,51819.0,51 819,,,50.21415558742587
15335,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1990,1990,1990,WPR,Western Pacific,AUS,Australia,,,,36991.0,36 991,,,35.84538160393814
15340,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1981,1981,1981,WPR,Western Pacific,AUS,Australia,,,,27710.0,27 710,,,26.85181596185899
15492,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2001,2001,2001,WPR,Western Pacific,AUS,Australia,SEX,SEX_FMLE,Female,55128.83,55129 [42122-70633],42121.7,70633.38,37.5985456767575
15516,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2016,2016,2016,WPR,Western Pacific,AUS,Australia,,,,279789.0,279 789,,,85.04690226212985
